,State,Males 19 and Under,Males 20-24,Males 25-29,Males 30-34,Males 35-39,Males 40-44,Males 45-49,Males 50-54,Males 55-59,Males 60-64,Males 65-69,Males 70-74,Males 75-79,Males 80-84,Males 85 and Over,Total Licensed Male Drivers (Table DL-22),Males under 16,Males 16,Males 17,Males 18,Males 19,Males 20,Males 21,Males 22,Males 23,Males 24,Females 19 and Under,Females 20-24,Females 25-29,Females 30-34,Females 35-39,Females 40-44,Females 45-49,Females 50-54,Females 55-59,Females 60-64,Females 65-69,Females 70-74,Females 75-79,Females 80-84,Females 85 and Over,Total Licensed Female Drivers (Table DL-22),Females under 16,Females 16,Females 17,Females 18,Females 19,Females 20,Females 21,Females 22,Females 23,Females 24,Total 19 and Under,Total 20-24,Total 25-29,Total 30-34,Total 35-39,Total 40-44,Total 45-49,Total 50-54,Total 55-59,Total 60-64,Total 65-69,Total 70-74,Total 75-79,Total 80-84,Total 85 and Over,Total Licensed Drivers (Table DL-22),Total under 16,Total 16,Total 17,Total 18,Total 19,Total 20,Total 21,Total 22,Total 23,Total 24,Licensed Male Drivers (Table DL-1C),Percent Male Drivers of Total,Licensed Female Drivers (Table DL-1C),Percent Female Drivers of Total,Total Licensed Drivers (Table DL-1C),Ratio of Licensed Drivers to Private and Commercial Motor Vehicles Registered,Total Resident Population,Male Driving Age Population (16 and Over),Female Driving Age Population (16 and Over),Total Driving Age Population (16 and Over),Drivers Per 1000 Total Resident Population,Drivers per 1000 Driving Age Population
15,Iowa,68054,94746.0,93632,92698,85159,83499,87876,100588,101786,92527,72189,50452,35941,24387,19737,1103271.0,0,16108,16692,17268,17986,18125,19146,19412,18750,19313.0,66189,94728.0,93740,92105,84581,82737,86812,102848,103322,92513,74351,54575,41375,30054,24749,1124679.0,0,15657,16219,16679,17634,18062,18812,19515,18985,19354.0,134243,189474.0,187372,184803,169740,166236,174688,203436,205108,185040,146540,105027,77316,54441,44486,2227950.0,0,31765,32911,33947,35620,36187,37958,38927,37735,38667.0,1103271.0,49.52,1124679.0,50.48,2227950.0,0.6265243400888684,3107126,1213806,1249101,2462907,717.0452694869794,904.6017571918062
16,Kansas,74313,88311.0,89523,86670,78434,75836,76722,89025,89726,79766,62999,42102,29248,20441,16702,999818.0,14257,12582,14301,16046,17127,17804,16332,17458,17901,18816.0,70829,85238.0,88057,86726,77648,76088,77088,92053,93447,82428,65135,46224,33562,25241,21689,1021453.0,13417,11971,13635,15342,16464,16998,15854,16892,17349,18145.0,145142,173549.0,177580,173396,156082,151924,153810,181078,183173,162194,128134,88326,62810,45682,38391,2021271.0,27674,24553,27936,31388,33591,34802,32186,34350,35250,36961.0,999818.0,49.46,1021453.0,50.54,2021271.0,0.8064783327408248,2904021,1117418,1142870,2260288,696.0249254395887,894.2537411161763
17,Kentucky,39737,121287.0,123852,127266,125350,133803,134587,146762,140924,123435,101658,69906,46356,28068,18944,1481935.0,0,8,6339,13826,19564,21889,22278,24582,25787,26751.0,38097,117620.0,124074,129298,126277,133639,136099,150803,147058,129217,106303,75599,51590,33241,24069,1522984.0,0,10,6184,13262,18641,20701,21585,23585,25364,26385.0,77834,238907.0,247926,256564,251627,267442,270686,297565,287982,252652,207961,145505,97946,61309,43013,3004919.0,0,18,12523,27088,38205,42590,43863,48167,51151,53136.0,1481935.0,49.32,1522984.0,50.68,3004919.0,0.7320075486048198,4413457,1712742,1801478,3514220,680.8538068910607,855.0742412256488
18,Louisiana,67860,128681.0,142070,149815,135902,134057,136340,148755,145912,125379,100435,69721,48093,31965,30765,1595750.0,0,11157,15505,19159,22039,23657,25126,26196,26438,27264.0,68130,131702.0,152297,160588,143410,140538,143801,158602,154700,134121,107503,78311,56464,40957,45756,1716880.0,0,11744,15661,18827,21898,23393,25231,26619,27589,28870.0,135990,260383.0,294367,310403,279312,274595,280141,307357,300612,259500,207938,148032,104557,72922,76521,3312630.0,0,22901,31166,37986,43937,47050,50357,52815,54027,56134.0,1595750.0,48.17,1716880.0,51.83,3312630.0,0.8715984000580955,4649676,1768061,1889623,3657684,712.4431895899843,905.6632557651235
19,Maine,18105,36543.0,39749,37388,35487,39343,43708,51034,51332,46561,40132,26471,17595,11704,8541,503693.0,0,2142,4416,5422,6125,6720,7225,7225,7480,7893.0,17905,35260.0,39213,37678,36044,39982,44691,52420,53494,48234,40453,28752,19111,12712,9276,515225.0,0,2155,4366,5471,5913,6412,6774,7178,7181,7715.0,36010,71803.0,78962,75066,71531,79325,88399,103454,104826,94795,80585,55223,36706,24416,17817,1018918.0,0,4297,8782,10893,12038,13132,13999,14403,14661,15608.0,503693.0,49.43,515225.0,50.57,1018918.0,0.8631840585284196,1330089,535061,568365,1103426,766.0524972389065,923.4130789015303
20,Maryland,62209,157682.0,192000,198246,180460,184650,194222,206518,187794,153058,122179,82388,53734,35390,28009,2038539.0,0,2913,13646,20591,25059,27271,29630,31137,33304,36340.0,59900,152388.0,186133,193335,178846,189384,203549,217623,198995,166344,132575,90958,59184,40470,34774,2104458.0,0,2905,13644,19860,23491,25896,28445,29929,32728,35390.0,122109,310070.0,378133,391581,359306,374034,397771,424141,386789,319402,254754,173346,112918,75860,62783,4142997.0,0,5818,27290,40451,48550,53167,58075,61066,66032,71730.0,2038539.0,49.2,2104458.0,50.8,4142997.0,1.0467238882877248,5976407,2285455,2493283,4778738,693.2253777227689,866.9646672405978
21,Massachusetts,83650,197128.0,216481,207285,189107,205695,223913,236610,217544,182011,146171,97943,65604,47454,41014,2357610.0,0,4583,20101,27127,31839,35251,36979,38900,41890,44108.0,81479,187272.0,216775,209119,190695,209278,228761,241432,224399,189978,153659,105260,71779,52748,45342,2407976.0,0,5069,20116,26319,29975,32373,34669,36873,40454,42903.0,165129,384400.0,433256,416404,379802,414973,452674,478042,441943,371989,299830,203203,137383,100202,86356,4765586.0,0,9652,40217,53446,61814,67624,71648,75773,82344,87011.0,2357610.0,49.47,2407976.0,50.53,4765586.0,0.9657252948705687,6745408,2645934,2876731,5522665,706.4933655606895,862.9141908842922
22,Michigan,170393,306667.0,289461,268087,255391,276637,296171,328767,328632,288832,233988,164993,109394,71830,58857,3448100.0,0,30362,39270,46753,54008,58486,56563,60723,63848,67047.0,157577,293257.0,286400,274114,267447,288899,308427,345775,350714,308510,250792,180135,124542,87465,74279,3598333.0,0,28110,36710,43224,49533,54005,54659,58048,61985,64560.0,327970,599924.0,575861,542201,522838,565536,604598,674542,679346,597342,484780,345128,233936,159295,133136,7046433.0,0,58472,75980,89977,103541,112491,111222,118771,125833,131607.0,3448100.0,48.93,3598333.0,51.07,7046433.0,0.8753202919982717,9909877,3868887,4087387,7956274,711.0515095192402,885.6448382748005
23,Minnesota,83162,123875.0,129691,137763,131354,131357,143751,168556,166721,145930,114360,80540,56066,39304,34400,1686830.0,0,13650,20827,23737,24948,23882,28161,25667,23400,22765.0,81611,113263.0,120750,132437,126100,127613,142532,169164,168001,145940,116494,83732,60371,43153,39477,1670638.0,0,14045,20407,23244,23915,23176,26698,23428,20461,19500.0,164773,237138.0,250441,270200,257454,258970,286283,337720,334722,291870,230854,164272,116437,82457,73877,3357468.0,0,27695,41234,46981,48863,47058,54859,49095,43861,42265.0,1686830.0,50.24,1670638.0,49.76,3357468.0,0.649548879535506,5457173,2129995,2187956,4317951,615.2394289131021,777.5604679163798
24,Mississippi,53325,81096.0,75114,73683,72619,76535,77916,87333,86818,77459,66209,45849,31958,19332,13749,938995.0,0,10338,12538,14702,15747,16215,16289,15845,16052,16695.0,53235,86072.0,84405,85076,82755,85891,85543,96301,95263,84483,70971,51011,36619,23704,17355,1038684.0,0,10532,12382,14521,15800,16659,17110,16635,17460,18208.0,106560,167168.0,159519,158759,155374,162426,163459,183634,182081,161942,137180,96860,68577,43036,31104,1977679.0,0,20870,24920,29223,31547,32874,33399,32480,33512,34903.0,938995.0,47.48,1038684.0,52.52,1977679.0,0.9639390270531627,2994079,1122269,1221747,2344016,660.529999375434,843.7139507580152
