,State,Males 19 and Under,Males 20-24,Males 25-29,Males 30-34,Males 35-39,Males 40-44,Males 45-49,Males 50-54,Males 55-59,Males 60-64,Males 65-69,Males 70-74,Males 75-79,Males 80-84,Males 85 and Over,Total Licensed Male Drivers (Table DL-22),Males under 16,Males 16,Males 17,Males 18,Males 19,Males 20,Males 21,Males 22,Males 23,Males 24,Females 19 and Under,Females 20-24,Females 25-29,Females 30-34,Females 35-39,Females 40-44,Females 45-49,Females 50-54,Females 55-59,Females 60-64,Females 65-69,Females 70-74,Females 75-79,Females 80-84,Females 85 and Over,Total Licensed Female Drivers (Table DL-22),Females under 16,Females 16,Females 17,Females 18,Females 19,Females 20,Females 21,Females 22,Females 23,Females 24,Total 19 and Under,Total 20-24,Total 25-29,Total 30-34,Total 35-39,Total 40-44,Total 45-49,Total 50-54,Total 55-59,Total 60-64,Total 65-69,Total 70-74,Total 75-79,Total 80-84,Total 85 and Over,Total Licensed Drivers (Table DL-22),Total under 16,Total 16,Total 17,Total 18,Total 19,Total 20,Total 21,Total 22,Total 23,Total 24,Licensed Male Drivers (Table DL-1C),Percent Male Drivers of Total,Licensed Female Drivers (Table DL-1C),Percent Female Drivers of Total,Total Licensed Drivers (Table DL-1C),Ratio of Licensed Drivers to Private and Commercial Motor Vehicles Registered,Total Resident Population,Male Driving Age Population (16 and Over),Female Driving Age Population (16 and Over),Total Driving Age Population (16 and Over),Drivers Per 1000 Total Resident Population,Drivers per 1000 Driving Age Population
35,Ohio,175264,315065.0,305628,302854,292269,319083,335351,374090,377446,325282,259154,178888,125423,83415,66065,3835277.0,0,24813,40888,51567,57996,60402,60401,63488,65094,65680.0,172023,322158.0,317447,320462,307324,333234,350045,396255,401422,346703,280846,202737,146548,100414,83012,4080630.0,0,25341,40446,49469,56767,59834,61137,64874,67583,68730.0,347287,637223.0,623075,623316,599593,652317,685396,770345,778868,671985,540000,381625,271971,183829,149077,7915907.0,0,50154,81334,101036,114763,120236,121538,128362,132677,134410.0,3835277.0,48.45,4080630.0,51.55,7915907.0,0.7661631249756821,11594163,4484168,4781062,9265230,682.7493282611259,854.3670259669755
36,Oklahoma,73393,110006.0,103899,100318,86456,85325,83741,96626,96233,86014,74281,55151,39655,25305,18621,1135024.0,0,15093,17862,19975,20463,21097,22200,23062,22107,21540.0,71032,112190.0,114559,114118,100121,101680,100323,118727,117800,104326,88544,66098,47971,32880,26579,1316948.0,0,14814,17752,18824,19642,20626,22027,23412,22797,23328.0,144425,222196.0,218458,214436,186577,187005,184064,215353,214033,190340,162825,121249,87626,58185,45200,2451972.0,0,29907,35614,38799,40105,41723,44227,46474,44904,44868.0,1135024.0,46.29,1316948.0,53.71,2451972.0,0.7013900668645189,3878051,1485698,1542294,3027992,632.26914756923,809.768321712871
37,Oregon,48558,100522.0,114805,124601,119828,115989,113350,118964,123352,121867,104891,72134,46300,28863,22785,1376809.0,2,6372,10682,14646,16856,17950,19045,20377,21157,21993.0,48707,100477.0,117217,126224,118085,112650,111353,121990,130816,129625,108993,74929,48212,31456,27903,1408637.0,3,6754,11027,14561,16362,17580,18867,20306,21629,22095.0,97265,200999.0,232022,250825,237913,228639,224703,240954,254168,251492,213884,147063,94512,60319,50688,2785446.0,5,13126,21709,29207,33218,35530,37912,40683,42786,44088.0,1376809.0,49.43,1408637.0,50.57,2785446.0,0.8250132395644391,3970239,1575847,1634834,3210681,701.581441318772,867.5561352871867
38,Pennsylvania,149633,353659.0,368173,354506,329423,360230,393006,436352,437456,377665,302336,213198,150843,107801,90764,4425045.0,0,6808,33623,49991,59211,63833,68059,71491,74935,75341.0,137917,331929.0,359164,352464,330988,360933,395738,441091,443035,385414,315612,231498,170660,126834,107319,4490596.0,0,6400,31892,45774,53851,58632,63038,67083,71371,71805.0,287550,685588.0,727337,706970,660411,721163,788744,877443,880491,763079,617948,444696,321503,234635,198083,8915641.0,0,13208,65515,95765,113062,122465,131097,138574,146306,147146.0,4425045.0,49.63,4490596.0,50.37,8915641.0,0.858716642725782,12787209,5036386,5370237,10406623,697.2311940783951,856.7275858844891
39,Rhode Island,11524,30162.0,32030,30483,27336,29069,32972,36660,36067,31106,25814,17169,10780,7612,7030,365814.0,0,0,2564,4002,4958,5558,5811,6143,6254,6396.0,11577,30422.0,32465,31061,28695,30413,34967,38662,37851,32411,26136,18541,12060,8873,8389,382523.0,0,2,2743,3934,4898,5424,5872,6249,6292,6585.0,23101,60584.0,64495,61544,56031,59482,67939,75322,73918,63517,51950,35710,22840,16485,15419,748337.0,0,2,5307,7936,9856,10982,11683,12392,12546,12981.0,365814.0,48.88,382523.0,51.12,748337.0,0.8812694457333029,1055173,415839,452736,868575,709.2078739694819,861.5686613130703
40,South Carolina,105057,145474.0,150459,144879,134642,145290,144940,155089,147682,136000,125591,89555,55557,34051,23721,1737987.0,13252,19113,22018,24493,26181,27159,27911,28625,30579,31200.0,103831,149890.0,161828,158491,146117,154623,155120,169000,164641,154622,136542,96261,61040,38907,28635,1879548.0,13770,18921,21708,23953,25479,26816,28504,29924,31877,32769.0,208888,295364.0,312287,303370,280759,299913,300060,324089,312323,290622,262133,185816,116597,72958,52356,3617535.0,27022,38034,43726,48446,51660,53975,56415,58549,62456,63969.0,1737987.0,48.04,1879548.0,51.96,3617535.0,0.9227405192039129,4832482,1859248,2008864,3868112,748.5873718722594,935.2198178336098
41,South Dakota,17657,25210.0,26568,26732,23902,21929,22632,27369,28263,26509,22124,15450,10520,6911,5550,307326.0,0,4061,4234,4671,4691,4834,4717,5015,5307,5337.0,16746,24267.0,25695,25334,22846,21184,21829,27203,28265,26218,21039,15116,11079,8336,7425,302582.0,0,3735,4134,4295,4582,4564,4505,4821,4986,5391.0,34403,49477.0,52263,52066,46748,43113,44461,54572,56528,52727,43163,30566,21599,15247,12975,609908.0,0,7796,8368,8966,9273,9398,9222,9836,10293,10728.0,307326.0,50.39,302582.0,49.61,609908.0,0.6062589275152855,853175,332585,332731,665316,714.8685791308934,916.7192732475996
42,Tennessee,116428,182117.0,179341,179664,174514,196653,197937,208891,198776,176776,151892,108043,71025,43773,30312,2216142.0,0,23397,27518,31572,33941,34951,35148,36493,37929,37596.0,115644,187548.0,194283,194897,187703,206977,208261,225354,217865,193984,163097,118306,82459,55600,45046,2397024.0,0,23710,27418,30955,33561,34618,35618,37888,39323,40101.0,232072,369665.0,373624,374561,362217,403630,406198,434245,416641,370760,314989,226349,153484,99373,75358,4613166.0,0,47107,54936,62527,67502,69569,70766,74381,77252,77697.0,2216142.0,48.04,2397024.0,51.96,4613166.0,0.8628817454985118,6549352,2516442,2707249,5223691,704.3698368937874,883.1238294914457
43,Texas,338567,718269.0,712891,707081,666537,698447,690235,735577,690250,574984,459208,312917,202739,128934,77701,7714337.0,0,38902,70039,101405,128221,136743,142655,146507,149044,143320.0,310482,691781.0,740849,743765,702702,729424,701480,751315,705613,597547,474343,328394,221091,142087,93523,7934396.0,0,37519,66089,91536,115338,126298,133964,140939,146298,144282.0,649049,1410050.0,1453740,1450846,1369239,1427871,1391715,1486892,1395863,1172531,933551,641311,423830,271021,171224,15648733.0,0,76421,136128,192941,243559,263041,276619,287446,295342,287602.0,7714337.0,49.3,7934396.0,50.7,15648733.0,0.7688669177683072,26956958,10146764,10463418,20610182,580.508119647625,759.27194626423
44,Utah,40114,71260.0,76882,77627,75341,59549,53627,54072,53149,46089,37851,27108,18685,13366,11865,716585.0,0,262,10541,14187,15124,16270,11287,13394,15589,14720.0,40764,69532.0,73553,75772,73199,57679,52046,54243,53910,47179,36363,28482,20006,14250,12140,709118.0,0,261,10785,14496,15222,15450,8750,13297,15701,16334.0,80878,140792.0,150435,153399,148540,117228,105673,108315,107059,93268,74214,55590,38691,27616,24005,1425703.0,0,523,21326,28683,30346,31720,20037,26691,31290,31054.0,716585.0,50.26,709118.0,49.74,1425703.0,0.6712722269881284,2942902,1063538,1068310,2131848,484.45480005790205,668.7639081210293
45,Vermont,9766,20425.0,23578,23318,20573,21036,22497,25866,26554,23662,19397,13454,8648,5985,7036,271795.0,0,1265,2310,2904,3287,3531,3693,4167,4434,4600.0,9571,19384.0,22862,23076,20136,20676,22969,26681,26691,24065,19489,13488,9101,6985,8343,273517.0,0,1348,2308,2709,3206,3319,3564,3949,4267,4285.0,19337,39809.0,46440,46394,40709,41712,45466,52547,53245,47727,38886,26942,17749,12970,15379,545312.0,0,2613,4618,5613,6493,6850,7257,8116,8701,8885.0,271795.0,49.84,273517.0,50.16,545312.0,0.9034402206777723,626562,254132,266280,520412,870.3240860441584,1047.8467060713435
46,Virginia,107987,222917.0,241958,245126,232130,253233,263733,286610,264784,222044,181736,123764,79648,49227,34883,2809780.0,0,9317,26121,33126,39423,39595,42954,44505,46983,48880.0,109372,230664.0,259763,262243,244917,261165,272218,293621,274800,232862,191409,132989,88722,58195,46343,2959283.0,0,10093,26792,33324,39163,40050,43608,45992,49124,51890.0,217359,453581.0,501721,507369,477047,514398,535951,580231,539584,454906,373145,256753,168370,107422,81226,5769063.0,0,19410,52913,66450,78586,79645,86562,90497,96107,100770.0,2809780.0,48.7,2959283.0,51.3,5769063.0,0.8215498912729257,8326289,3247094,3418338,6665432,692.8732596238252,865.5197442566364
47,Washington,103273,223988.0,264237,284991,260997,254826,242804,255186,244773,214939,174910,116569,72509,44238,32508,2790748.0,0,14494,22699,30080,36000,39629,41387,45385,47051,50536.0,101071,207624.0,239698,253084,231712,228690,222715,240950,236808,212484,170911,112707,71200,45348,35389,2610391.0,0,15274,23204,28768,33825,37134,38227,41741,43892,46630.0,204344,431612.0,503935,538075,492709,483516,465519,496136,481581,427423,345821,229276,143709,89586,67897,5401139.0,0,29768,45903,58848,69825,76763,79614,87126,90943,97166.0,2790748.0,51.67,2610391.0,48.33,5401139.0,0.8540131974136447,7061530,2802234,2836195,5638429,764.8680951578483,957.9155825142074
48,West Virginia,27990,34152.589700000004,38262,39021,41739,47022,47678,51894,57043,56931,50985,35437,25068,16013,12811,582046.5897,0,8291,5846,6695,7158,6524,6762,7007,7031,6828.589700000002,28050,32899.1561,39269,41785,44650,48515,49057,55740,60284,57786,48903,33647,23887,15475,9913,589860.1561,0,9118,5730,6452,6750,6365,6708,6894,6813,6119.1561,56040,67051.7458,77531,80806,86389,95537,96735,107634,117327,114717,99888,69084,48955,31488,22724,1171906.7458000001,0,17409,11576,13147,13908,12889,13470,13901,13844,12947.745800000002,582046.5897,49.67,589860.1561,50.33,1171906.7458000001,0.7761819972381089,1850326,741935,771897,1513832,633.3514990331435,774.1326288518145
49,Wisconsin,95403,164716.0,173691,175892,158187,165863,183820,209474,197036,169019,130223,95290,69544,52542,55538,2096238.0,0,17026,23829,26800,27748,29987,31318,33172,34965,35274.0,97141,170566.0,177944,180616,163889,169856,186161,209058,199166,170906,129274,89709,63509,44313,39848,2091956.0,0,16747,24198,27574,28622,31038,32775,34513,35918,36322.0,192544,335282.0,351635,356508,322076,335719,369981,418532,396202,339925,259497,184999,133053,96855,95386,4188194.0,0,33773,48027,54374,56370,61025,64093,67685,70883,71596.0,2096238.0,50.05,2091956.0,49.95,4188194.0,0.7967631000867306,5757564,2271230,2336067,4607297,727.4246538987669,909.03495042755
50,Wyoming,11158,17778.0,19741,19979,17319,16542,15788,18757,21048,19284,15245,10248,6901,4315,3378,217481.0,0,2205,2602,3101,3250,3379,3190,3567,3743,3899.0,10557,16715.0,18496,18501,16277,15290,14884,18768,20297,18183,13940,9896,6731,4495,3476,206506.0,0,2022,2483,2993,3059,3177,2956,3299,3468,3815.0,21715,34493.0,38237,38480,33596,31832,30672,37525,41345,37467,29185,20144,13632,8810,6854,423987.0,0,4227,5085,6094,6309,6556,6146,6866,7211,7714.0,217481.0,51.29,206506.0,48.71,423987.0,0.5200034206769059,584153,235007,225992,460999,725.8149834033208,919.7134917863162
51,Total,4336080,8918104.5897,9323670,9232528,8665981,9113887,9420844,10197935,9730998,8383497,6868259,4778162,3196694,2093736,1647308,105907683.5897,31338,509455,951106,1303928,1540253,1651997,1708785,1794102,1855994,1907226.5897,4155312,8661060.1561,9386253,9418397,8846326,9237181,9488878,10389348,10019181,8718824,7145950,5039639,3436834,2311665,1929940,108184788.1561,30833,512626,929771,1235966,1446116,1568684,1632631,1741482,1826818,1891445.1561,8491392,17579164.7458,18709923,18650925,17512307,18351068,18909722,20587283,19750179,17102321,14014209,9817801,6633528,4405401,3577248,214092471.7458,62171,1022081,1880877,2539894,2986369,3220681,3341416,3535584,3682812,3798671.7457999997,105907683.5897,49.47,108184788.1561,50.53,214092471.7458,0.8355337635379969,318857056,123622687,130002691,253625378,671.4371462609251,844.128743874361
